採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,採樣日期_clean, 差異天數 ,採樣年,採樣月,採樣日,測站編號,經度(TWD97),緯度(TWD97),上下游_新竹,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2013/1/2 上午 11:00:00,2013/1/2,,2013,1,2,1207,120.539661,22.563788,,2.8,25.7,22.8,7.5,417,,6.8,79,1.8,8.2,35.2,27000,1.88,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,興社大橋,乙,2013/1/2 下午 12:00:00,2013/1/2,,2013,1,2,1208,120.504164,22.542199,,6.3,25.5,22.9,7.7,536,,5,57.3,6,20.9,92.4,220000,4.26,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2013/1/2 下午 01:10:00,2013/1/2,,2013,1,2,1209,120.462007,22.504523,,5.5,25.3,22.4,7.5,604,,2.3,26.1,4.3,16.4,21.5,100000,5.97,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,東港大橋,丙,2013/1/2 下午 01:30:00,2013/1/2,,2013,1,2,1210,120.459635,22.477717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2013/1/2 下午 01:42:00,2013/1/2,,2013,1,2,1211,120.55042,22.461197,,2,24.8,25.5,7.7,472,,6.8,82.1,2.8,6.6,37.4,2900,0.58,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2013/1/3 下午 02:50:00,2013/1/3,,2013,1,3,1333,120.458029,22.630278,,4.5,23.6,25.5,7.9,691,,6.7,81.6,11.8,16.1,16.4,260000,4.27,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2013/1/5 下午 12:40:00,2013/1/5,,2013,1,5,1154,120.443403,23.513764,,4.5,25.8,21.8,7.9,795,,7.8,88.4,6,28.6,9.2,37000,15.9,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2013/1/5 下午 01:45:00,2013/1/5,,2013,1,5,1155,120.360416,23.514091,,5.8,22.6,22.9,7.8,1440,,3.1,35.8,7,32.5,8.7,560000,17.7,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,介壽橋,丁,2013/1/5 下午 02:00:00,2013/1/5,,2013,1,5,1156,120.29326,23.48206,,5.5,24.9,21,7.7,1380,,3.7,41.3,4.6,28.2,22.7,290000,18,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,朴子溪橋,丁,2013/1/5 下午 02:50:00,2013/1/5,,2013,1,5,1157,120.245061,23.475606,,5,24.5,20.4,8.3,1310,,9.2,102.7,7.5,36.3,33.4,10000,18.2,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,東石大橋,丁,2013/1/5 上午 08:55:00,2013/1/5,,2013,1,5,1158,120.177429,23.459245,,3.8,16.5,16.9,8.1,21800,,7.6,84.5,2,19,33.1,550,8.68,7420,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義縣,觸口橋,甲,2013/1/5 上午 10:30:00,2013/1/5,,2013,1,5,1159,120.605581,23.438976,,1.5,17.8,17.7,8.6,527,,9.7,101.8,1,4,25.3,22000,0.05,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義縣,五虎寮橋(取代舊橋),甲,2013/1/5 上午 10:40:00,2013/1/5,,2013,1,5,1160,120.553694,23.450925,,1,21.1,18.4,8.6,566,,10,107.9,1,4,17.3,500,0.02,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義市,軍輝橋,丙,2013/1/5 上午 11:30:00,2013/1/5,,2013,1,5,1161,120.458135,23.458554,,1.5,24.5,21.4,8.4,717,,10.4,117.8,3.4,13.4,3.8,41000,0.26,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2013/1/5 上午 11:43:00,2013/1/5,,2013,1,5,1162,120.381719,23.403818,,3.8,26.1,21.9,7.8,900,,6.5,74.1,3.8,18.6,10.4,210000,7.05,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,台南市,厚生橋,丙,2013/1/5 下午 02:15:00,2013/1/5,,2013,1,5,1163,120.253036,23.328537,,3.3,23.9,21.7,8.1,974,,9.4,106.7,2.1,16.6,15.8,3500,6.34,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,台南市,嘉南大橋,丙,2013/1/5 上午 08:20:00,2013/1/5,,2013,1,5,1164,120.153294,23.313528,,5,17.5,17.4,8.4,6880,,8.9,94.5,4.7,36.3,61.8,1200,5.66,1870,,,,,,,,,,,,,,,,,,,
