"編號","管制編號","裁處時間","管轄縣市","裁處書字號","違反時間","違反法令","裁罰金額","是否訴願","審議機關","訴願結果","陳情結果","違規人名稱","裁處公司名稱","事業名稱","地址","縣市","鄉鎮","行業別","所屬工業區","列管類別","機構地址","東經","北緯","更正後X","更正後Y","列管狀況","事業別","鄉鎮別","流域別"
32,"J55A1230","2012/7/3","新竹縣","30-101-070001","2012/5/23","水污染防治法第14條第2項",10000,"否","","","","益廣達實業股份有限公司","益廣達實業股份有限公司","益廣達實業股份有限公司","新竹縣竹北市泰和里環北路二段１７５巷１０號","新竹縣","竹北市","其他非金屬礦物製品製造業(未分類其他非金屬礦物製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣竹北市泰和里環北路2段175巷10號",250790,2749321,250790,2749321,"屬於水污法定義範圍內之列管事業","土石加工業","竹北市","鳳山溪"
33,"J55A1309","2017/5/1","新竹縣","30-106-050001","2017/1/9","水污染防治法第30條第1項",30000,"否","","","","惠,惠","惠,新竹縣竹北市博愛街７８９號３樓""","新竹縣","竹北市","清潔用品製造業(清潔用品製造業)","","廢棄物;","","","",,,,,"","","",""
34,"J55097010712","2016/2/2","新竹縣","30-105-020003","2015/9/22","水污染防治法第19條",60000,"否","","","","豐邑京站國際商務中心","豐邑京站國際商務中心管理委員會","","","","","","","","",,,,,"","","",""
35,"J55097011782","2015/5/18","新竹縣","30-104-050007","2015/3/17","水污染防治法第19條",60000,"否","","","","豐邑The One污水下水道系統","豐邑THE ONE公寓大廈管理委員會","","","","","","","","",,,,,"","","",""
36,"J55097012841","2016/2/2","新竹縣","30-105-020004","2015/9/22","水污染防治法第19條",60000,"否","","","","雙翼大廈管理委員會","雙翼大廈管理委員會","","","","","","","","",,,,,"","","",""
37,"J55A2208","2016/2/24","新竹縣","30-105-020012","2015/12/31","水污染防治法第30條第1項第2款",30000,"否","","","","薪宇科技股份有限公司","薪宇科技股份有限公司","薪宇科技股份有限公司","新竹縣竹北市泰和里環北路一段２６９巷１００號","新竹縣","竹北市","其他非金屬礦物製品製造業(未分類其他非金屬礦物製品製造業)","其他工業區","廢棄物;","",,,,,"","","",""
38,"J55097012878","2016/2/2","新竹縣","30-105-020006","2015/9/22","水污染防治法施行細則第19條",60000,"否","","","","佳陞建設竹北隘興段新建工程","好FUN社區管理委員會","","","","","","","","",,,,,"","","",""
39,"J55097004385","2015/10/14","新竹縣","30-104-100010","2015/7/7","水污染防治法第7條第1項",170000,"否","","","","台元科技園區第二期污水下水道系統","台元科技園區第二期管理委員會","","","","","","","","",,,,,"","","",""
40,"J55097004385","2015/6/11","新竹縣","30-104-060011","2015/4/28","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第16條",10000,"否","","","","台元科技園區第二期污水下水道系統","台元科技園區第二期管理委員會","","","","","","","","",,,,,"","","",""
41,"J55097004385","2015/6/11","新竹縣","30-104-060012","2015/4/28","水污染防治法第7條第1項",80000,"否","","","","台元科技園區第二期污水下水道系統","台元科技園區第二期管理委員會","","","","","","","","",,,,,"","","",""
42,"J55097012850","2016/2/15","新竹縣","30-105-020011","2015/9/22","水污染防治法第19條",60000,"否","","","","坤山建設(時代觀邸)店舖住宅新建工程專用下水道系統","時代觀邸社區管理委員會","","","","","","","","",,,,,"","","",""
43,"J55A4056","2017/2/14","新竹縣","30-106-020006","2016/11/21","水污染防治法第21條第2項",10002,"否","","","","富翼大樓管理委員會","富翼大樓管理委員會","富翼大樓管理委員會","新竹縣竹北市中興里嘉豐十一路一段一○○號","新竹縣","竹北市","保全及私家偵探服務業","非屬工業區類","水污染;","",,,,,"","","",""
44,"J55097012887","2016/2/2","新竹縣","30-105-020007","2015/9/22","水污染防治法第19條",60000,"否","","","","紐約紐約","紐約紐約社區公寓大廈管理委員會","","","","","","","","",,,,,"","","",""
45,"J55097012823","2016/2/1","新竹縣","30-105-020002","2015/9/17","水污染防治法第19條",60000,"否","","","","合眾建築經理股份有限公司-合眾建築經理(?翼)新建工程污水下水道系統","德翼社區管理委員會","","","","","","","","",,,,,"","","",""
46,"J55097012869","2016/2/2","新竹縣","30-105-020005","2015/9/22","水污染防治法第19條",60000,"否","","","","名銓一景","名銓一景社區管理委員會","","","","","","","","",,,,,"","","",""
47,"J55097013115","2016/3/9","新竹縣","30-105-030004","2015/8/17","水污染防治措施及檢測申報管理辦法第16條，水污染防治法第19條",60000,"否","","","","豐邑建設股份有限公司-豐邑竹北隘興段店鋪集合住宅新建工程(096)府建字第00943號","豐邑i-Park社區管理委員會","","","","","","","","",,,,,"","","",""
48,"J55A5826","2015/10/27","新竹縣","30-104-100014","2015/8/17","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第16條",10000,"否","","","撤銷並另立裁處書","豐邑建設股份有限公司-豐邑竹北隘興段店鋪集合住宅新建工程(096)府建字第00943號","豐邑建設股份有限公司-豐邑竹北隘興段店鋪集合住宅新建工程(096)府建字第00943號","豐邑建設股份有限公司-豐邑竹北隘興段店鋪集合住宅新建工程(096)府建字第00943號","新竹縣竹北市隘興段六二二、六二三地號","新竹縣","竹北市","其他專門營造業","","水污染;","",,,,,"","","",""
49,"J55097012832","2016/3/9","新竹縣","30-105-030005","2015/9/17","水污染防治法第19條，水污染防治措施及檢測申報管理辦法第16條",60000,"否","","","","德鑫御璽社區下水道系統","德鑫御璽社區管理委員會","","","","","","","","",,,,,"","","",""
50,"J55097012832","2015/12/28","新竹縣","30-104-120015","2015/9/17","水污染防治法第18條",10000,"否","","","撤銷並另立裁處書","德鑫御璽社區下水道系統","德鑫御璽社區管理委員會","","","","","","","","",,,,,"","","",""
51,"J55097012556","2016/2/15","新竹縣","30-105-020009","2015/9/17","水污染防治法第19條",60000,"否","","","","巨寶建設股份有限公司-巨寶建設股份有限公司御園集合住宅十四層新建工程(097)府建字第00613號(01)","巨寶建設股份有限公司","","","","","","","","",,,,,"","","",""
52,"J55097012789","2016/1/28","新竹縣","30-105-010013","2015/9/17","水污染防治法第19條",60000,"否","","","","暐記開發實業有限公司-馥邑雙星(096)府建字第00945號(01)","馥邑雙星社區管理委員會","","","","","","","","",,,,,"","","",""
53,"J55097011817","2015/6/11","新竹縣","30-104-060009","2015/4/28","水污染防治措施及檢測申報管理辦法第16條，水污染防治法第18條",10000,"否","","","","文生開發股份有限公司-竹北市台元段廠辦大樓新建工程擴建計畫案(099)府建字第00871號","台元科技園區第五期管理委員會","","","","","","","","",,,,,"","","",""
54,"J55097012752","2015/12/15","新竹縣","30-104-120010","2015/9/16","水污染防治法第18條",10000,"否","","","","仁發建築開發有限公司-仁發建築開發有限公司上境集合住宅十四層新建工程(100)府建字第00136號","上境社區管理委員會","","","","","","","","",,,,,"","","",""
55,"J55B0081","2014/5/6","新竹縣","30-103-050002","2014/2/17","水污染防治法第30條第1項第2款",100000,"否","","","","凱傑石業有限公司","凱傑石材有限公司","凱傑石材有限公司","新竹縣竹北市泰和里博愛街６４６巷１０號","新竹縣","竹北市","石材製品製造業(石材製品製造業)","非屬工業區類","廢棄物;","",,,,,"","","",""
56,"J55B0081","2014/4/1","新竹縣","30-103-040001","2014/2/12","水污染防治法第30條第1項第2款",70000,"否","","","","凱傑石業有限公司","凱傑石材有限公司","凱傑石材有限公司","新竹縣竹北市泰和里博愛街６４６巷１０號","新竹縣","竹北市","石材製品製造業(石材製品製造業)","非屬工業區類","廢棄物;","",,,,,"","","",""
57,"A45097017871","2016/2/15","新竹縣","30-105-020010","2015/9/17","水污染防治法第19條",60000,"否","","","","安信建築經理股份有限公司-竹北市世興段52、54地號2筆土地綜合大樓新建工程(100)府建字第00474號","安信建築經理股份有限公司","","","","","","","","",,,,,"","","",""
58,"B24097008889","2016/5/19","新竹縣","30-105-050017","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","翰林富苑社區","山璞建設股份有限公司","","","","","","","","",,,,,"","","",""
59,"J55097013348","2016/5/16","新竹縣","30-105-050010","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","德鑫建設A+7社區","德鑫建設股份有限公司","","","","","","","","",,,,,"","","",""
60,"J55097012798","2016/1/28","新竹縣","30-105-010012","2015/9/16","水污染防治法第19條",60000,"否","","","","仁發建築開發有限公司-藏綠集合住宅十四層新建工程(100)府建字第00805號","藏綠社區管理委員會","","","","","","","","",,,,,"","","",""
61,"B20097010250","2016/1/5","新竹縣","30-105-010008","2015/10/20","水污染防治法第7條第1項，水污染防治法第18條，水污染防治措施及檢測申報管理辦法第10條",270000,"否","","","","浩瀚開發建設股份有限公司-浩瀚開發建設竹北市莊敬段713地號住宅大樓新建工程(100)府建字第00465號(01)","浩瀚開發建設股份有限公司","","","","","","","","",,,,,"","","",""
62,"F15097001789","2016/5/19","新竹縣","30-105-050016","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","興築建設股份有限公司-青禾社區","興築建設股份有限公司","","","","","","","","",,,,,"","","",""
63,"J55097008614","2014/5/14","新竹縣","30-103-050009","2014/3/14","水污染防治法第7條第1項",210000,"否","","","","威富光電股份有限公司竹北廠","威富光電股份有限公司","","","","","","","","",,,,,"","","",""
64,"J55097008614","2014/3/24","新竹縣","30-103-030013","2014/1/15","水污染防治法第7條第1項",180000,"否","","","","威富光電股份有限公司竹北廠","威富光電股份有限公司","","","","","","","","",,,,,"","","",""
65,"J55097008614","2014/2/12","新竹縣","30-103-020004","2013/11/11","水污染防治法第18條，水污染防治措施及檢測申報管理辦法第110條第1項",10000,"否","","","","威富光電股份有限公司竹北廠","威富光電股份有限公司","","","","","","","","",,,,,"","","",""
66,"J55097008614","2014/2/6","新竹縣","30-103-020001","2013/11/11","水污染防治法第14條第2項",10000,"否","","","","威富光電股份有限公司竹北廠","威富光電股份有限公司","","","","","","","","",,,,,"","","",""
67,"J55097008614","2013/12/3","新竹縣","30-102-120003","2013/10/17","水污染防治法第7條第1項",150000,"否","","","","威富光電股份有限公司竹北廠","威富光電股份有限公司","","","","","","","","",,,,,"","","",""
68,"B23097008208","2016/5/18","新竹縣","30-105-050014","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","富宇建設-東方之星社區","富宇建設股份有限公司","","","","","","","","",,,,,"","","",""
69,"J55B2611","2017/4/20","新竹縣","30-106-040004","2017/2/4","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項，水污染防治措施及檢測申報管理辦法第94條第1項",6000,"否","","","","三德精密科技股份有限公司竹北廠","三德精密科技股份有限公司","三德精密科技股份有限公司","新竹縣竹北市新社里保泰五路９６號","新竹縣","竹北市","金屬加工處理業","","毒性化學物質;","",,,,,"","","",""
70,"B23097016022","2016/5/17","新竹縣","30-105-050012","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","富宇地產-君品社區","富宇地產股份有限公司","","","","","","","","",,,,,"","","",""
71,"A35097019286","2016/5/16","新竹縣","30-105-050011","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","國泰建設TWIN PARK社區","國泰建設股份有限公司","","","","","","","","",,,,,"","","",""
72,"H43097017194","2016/2/2","新竹縣","30-105-020008","2015/9/22","水污染防治法第19條",60000,"否","","","","嘉璟建設股份有限公司-嘉璟建設竹北市隘興段新建工程(102)府建字第00159號","嘉璟建設股份有限公司","","","","","","","","",,,,,"","","",""
73,"F0801592","2016/6/7","新竹縣","30-105-060009","2016/4/12","水污染防治法第7條第1項，水污染防治法第18條，水污染防治措施及檢測申報管理辦法第10條",462000,"否","","","","潤隆建設股份有限公司-潤隆建設竹北市莊敬段集合住宅新建工程(102)府建字第00628號","潤隆建設股份有限公司","","","","","","","","",,,,,"","","",""
74,"F15097002277","2015/1/7","新竹縣","30-104-010008","2014/10/17","水污染防治法第18條，水污染防治法第7條第1項",330000,"否","","","","佳陞建設股份有限公司-新竹縣竹北市莊敬段54地號土地集合住宅新建工程(103)府建字第00123號","佳陞建設股份有限公司","","","","","","","","",,,,,"","","",""
